question,tag,correction
I have a backend of Django and a ray cluster with multiple GPUs deployed on AWS. I have a training script in the back-end code with the decorator @ray.remote. How can I submit this to the ray cluster?,cluster,
what is ray dashboard port,cluster,
Does TorchTrainer take a TrialInfo ?,train,
how to tune lightgbm,tune,
should I install ray in virtual machine or in kuberenetes with kuberay operator?,cluster,
suppose i had 10 tasks in remote and ray outputs 1 task killed due to OOM pressure .DOes ray retry the task later ?,ray-core,
what about ray on vertex ai?,other,
usecases of ray,ray-core,other
What is Ray,ray-core,
actor函数优先级,ray-core,
Does Ray have a distributed file system,ray-core,
is min and max worker port inclusive?,rllib,ray-core
can ray do cross-cluster operation,cluster,
"I have many worker node group, how do I schedule actor into specific node group?",ray-core,
Does Ray increment a run number after every run to not overwrite data.,data,other
What about Hugging Fact Dataset Cache Dir?,data,
* If I deploy an application using serve.run inside an already running serve client (for example by calling it on an application that was deployed during startup) would this new application be recovered when GCS fault tolerance is enabled and the ServeController crashes?*,serve,
Why would I want to use RAY,cluster,other
Can Ray be configured to store everything to S3 ?,cluster,ray-core
prevent schedule worker actor on head node,ray-core,
What is an example of an FSDP Scaling config ?,train,
can i change FUNCTION_SIZE_ERROR_THRESHOLD,ray-core,
Can Ray train on TPUs ?,train,
what does TorchTrainer do ?,train,
Can I download the whole docs as pdf or offline version?,other,
do i setup gpus in advance,cluster,
how can I scale a serve deployment programmatically with its handle,serve,
How to make my torch trainer make use of Apple silicon(mps) for training instead of cpu,other,train
How to make my torch trainer make use of Apple silicon(mps) for training instead of cpu,other,train
do i need to have multiple machines to try ray,ray-core,
"explain""Doubling the CPU requirements, runs only half(7) of the Tasks at the same time, and memory usage doesn’t exceed 9GB.""",ray-core,
where is the log which is output into the console?,tune,ray-observability
How do I give an actor custom resources,ray-core,
"whats the use for ""truncated"" in ""step"" procedure of an custom env for RLLib?",rllib,
"I'm starting the Ray cluster with `ray start --block`. I'd also like to run `serve start`, but only after the cluster has been started. My issue is that I need to run `ray start` first, and I need it to block. This doesn't give me an opportunity to run `serve start` after the cluster has been started",cluster,
how to use resume_from_checkpoint,train,
Why should I use map_batches as opposed to map for ray data?,data,
How to save and reload checkpoint with ray rllib python api?,rllib,
how to save and reload checkpoint with ray?,tune,train
what API should I call Ray to get cluster info,cluster,ray-observability
"I run tuner = tune.Tuner( train_breast_cancer, tune_config=tune.TuneConfig( # metric=""binary_error"", # mode=""min"", scheduler=ASHAScheduler( metric=""binary_error"",mode=""min""), num_samples=2, ), param_space=config, )",tune,
provide example of tuning lightgbm,train,tune
How can I check if an ActorState is DEAD in python api,ray-observability,
How do I do it in python api,other,
How do I check if an ActorState is DEAD,ray-core,ray-observability
Exception: Cannot include dashboard with missing packages.,cluster,ray-observability
how does ray behave when a function returns a tuple?,ray-core,
How can I get a named actor by id,ray-core,
get a list of all named actors in a namespace,ray-core,
i have ray implemented in cpp code.How can i compile iot ?,rllib,ray-core
can you write the entire coce including what to write or #include ?,data,ray-core
how do I call the healthz endpoint using grpcurl?,serve,
I want to use ray cpp to parallelize a function in c++ code .Can you guide me give me a example,ray-core,
how do i release the actors created by ray data transformations?,data,
is there a way to set the max block size when using ray dataset / map_batches,data,
force clea-up idle nodes,cluster,
I'm getting a AttributeError: 'Dataset' object has no attribute 'unique' error when trying to run Dataset.unique. What could be the reason?,data,
How to deploy Ray Serve on a cluster?,serve,
how to deploy it on a cluster?,cluster,
the autoscaler failed with signal 15,cluster,
"I am deploying my application using: serve.run(_target_ = application, _name_=deployment_name, _route_prefix_=prefix) How can i programmatically make a request to the prefix endpoint through serve ?",serve,
Show me an example of optuna with ASHA scheduler with ray tune,tune,
checkpoint_path: /tmp/tmpqkrkahqo/checkpoint.pth,tune,train
Repartition thousands of files,data,
how do i stream in a set of files?,rllib,data
Checkpoint.from_directory() how does this code works,train,
ray tune isnt reporting the output to the output file on a PBSpro cluster,tune,
"best_checkpoint = best_trial.checkpoint.to_air_checkpoint() best_checkpoint_data = best_checkpoint.to_dict() best_trained_model.load_state_dict(best_checkpoint_data[""net_state_dict""])is there anything wrong with this code?",tune,
How do i view model summary from PPOTF1Policy,rllib,
how do i stream data?,data,
how do i read data from an iterator?,data,
ray.air.Checkpoint` is deprecated. Please use `ray.train.Checkpoint` instead.,train,
how do i create a datasource from a stream?,data,
how do i index into a ray dataset?,data,
can i have nested parallel ray jobs? for example a ray.remote function calls ray.get on another list of ray tasks?,ray-core,
how do i iterate over the product of files in ray data?,data,
how to continue training when I had previously stopped it,rllib,train
"session.report( {""loss"": val_loss / val_steps, ""accuracy"": correct / total, ""checkpoint"": checkpoint}, )how can I get the checkpoint data if I save the weight in this way",train,
is there a way to flag the system to ignore any num_cpus def when in local mode?,ray-core,
how do i pass an argument to actor when calling .map?,ray-core,data
What is Ray?,ray-core,
map_batches restrict to one actor per gpu,ray-core,data
What is the new ray handle being introduced after 2.7.1,ray-core,serve
What is the new ray handle being introduced after 2.7.1,ray-core,serve
how to find why ray.init times out?,ray-core,
Which advanced exploration technics for RL are available in ray?,rllib,
can two people ray.init to the same ray cluster?,cluster,
"for dqn what are the possible configs for type replay_buffer_config.update({ ""type""",rllib,
how to log debug level in cutom log file,ray-observability,
"When using persistent cloud storage, do the worker nodes save to the cloud by first sending data to the head node?",cluster,other
iter_torch_batches,rllib,data
how should I use trial name creator.,tune,
set conda env to serve deployment,serve,
can i find out from logs what was the ip address of the machine that called ray.init ?,cluster,ray-core
how to place a serve deployments to a specific node,serve,
for a single trial how do I plot the loss for each epoch,ray-core,train
how does manual inference using compute_single_action with view requirements and the trajectory api?,rllib,
What is teh best way to overcome the credit assignment problem when training with PPO?,other,rllib
"Logical resource usage: 1.0/24 CPUs, 0/3 GPUs (0.0/1.0 accelerator_type:G) is this as fast as possible",ray-core,
I get the following error when trying to analyse my 'ExperimentAnalysis' results object: TypeError: 'ExperimentAnalysis' object is not iterable,tune,
assign a actor to specific node,ray-core,
"when i using compute_single_action with a model with complicated view requirements (trajectory api), including states and requirements regarding obs, rewards and action of multiple last episodes do i need to process these in any way, for example concatenate it, or is this already managed in compute_single_action itself?",rllib,
"After finishing a tune.tuner experiment, there is no tuner.pkl file in my experiment directory, what is wrong?",tune,
how do i use callbacks function to access infos data?,data,
how to use ApexTrainer?,train,
how to kill and restart workers if their memory usage is too large ?,ray-core,
how do i get the number of workers in an algorithm?,rllib,
I have an actor pool that contains a function called count and I want to process a list of number thorugh this function,ray-core,
"can you outline to me the difference between partition, paralellism, block (batch?) size, in the context of a using ray dataset",data,
"for this provided ray RLLib example, how can i set ""store_infos"" : True? from ray.rllib.examples.env.two_step_game import TwoStepGame from ray.rllib.algorithms.qmix import QMixConfig config = QMixConfig() config = config.training(gamma=0.9, lr=0.01, kl_coeff=0.3) config = config.resources(num_gpus=0) config = config.rollouts(num_rollout_workers=4) print(config.to_dict()) # Build an Algorithm object from the config and run 1 training iteration. algo = config.build(env=TwoStepGame) algo.train()",rllib,
"ow can i set ""store_infos"" : True, for an custom environment RLLib python API?",rllib,
Is it possible for me to write outputs to Google Cloud Storage so that those outputs never reside on the nodes of my cluster?,cluster,
Could you give an example of actorpool?,ray-core,
"how can i fix this error trainer.hyperparameter_search( direction=""maximize"", backend=""ray"", n_trials=10 # number of trials ) DeprecationWarning: Accepting a `checkpoint_dir` argument in your training function is deprecated. Please use `ray.train.get_checkpoint()` to access your checkpoint as a `ray.train.Checkpoint` object instead. See below for an example:",train,
"im using ray tune , when i run the script locally it works but when i run it with qsub on the HPC cluser it just starts the ray instance and then does nothing",ray-core,cluster
"how can i extract ""infos"" from environment during training?",rllib,
How can I stop the deduplication of logs in ray?,ray-observability,
ray starts ray instance but doesnt do anything else,ray-core,
how to config object_store_memory,ray-core,
Hw can I use Actorpool,ray-core,
i have problem registering my env,rllib,
difference between agent steps and env steps,rllib,
DQN custom model 짜는 법 알려줘,rllib,
hi,rllib,other
ray up cluster.yaml ray attach cluster.yaml -p 10001 上面的两个命令，cluster.yaml文件是从哪里来的？,cluster,
jump to spill in v2.3.1,ray-core,
how to training xgboost with auto scaling,train,
What is the difference between rlib and Ray?,other,
"message: 'Deployment ''MistralAWQ'' in application ''MistralAWQ'' has 1 replicas that have taken more than 30s to be scheduled. This may be due to waiting for the cluster to auto-scale or for a runtime environment to be installed. Resources required for each replica: {""GPU"": 1.0}, total resources available: {}. Use `ray status` for more details.'",cluster,
give me a example of ray memory,ray-core,
ray mmap 的映射文件是哪个,ray-core,
how to use ray?,cluster,other
What orchestrators support ray?,other,
Can I use mlflow to schedule periodic jobs on ray?,cluster,other
What's ray air?,other,
tune sync config,tune,
ray tune logging,tune,
"what will happend if too many job submit, will head node out of memory",cluster,
log images in ray tune,tune,
How can I do stateful actor,ray-observability,ray-core
integration with chromaSB,tune,data
"I have two nodes, A and B, I want to specific my task on node A, how can I do it",ray-core,
"I have two nodes, A and B, I want to specific my task on node A, how can I do it",ray-core,
为什么要限制 Object Store Memory 的大小,ray-core,
How do I get started,tune,other
how to save model when tuner.fit() end?,tune,
"how to save tuner to checkpoint? tuner = tune.Tuner( DQN, run_config=RunConfig( stop={ ""training_iteration"": 10000000, }, checkpoint_config=CheckpointConfig( checkpoint_frequency=100, checkpoint_at_end=True ) ), param_space=config, )",tune,
"ray溢出到磁盘时有一堆session, 这些session都是什么意思",rllib,other
how to disable cluster log,cluster,
"如果发现ray溢出磁盘很大，达到100g, 应该怎么排查具体造成的原因？",rllib,other
该如何配置 object store memory,ray-core,
dataset 会发生内存拷贝吗,data,
is this on github?,ray-core,other
can ray limit actor resource (cpu/mem),ray-core,
is Ray object store faster than redis,ray-core,
使用網路檔案系統 (NFS) 設定 Tune，幫我詳細說明這裡的NFS是把資料儲存到哪裡,rllib,other
請問RAY提供的NFS市面費的嗎?,ray-core,other
kuberay中，rayservice支持哪些调度方式？,cluster,
我有两台gpu的机器，怎么部署一个rayservice，将多个副本分布到两个机器上?,rllib,cluster
ho w,train,other
When should i use RayService and RayCluster in KubeRay?,cluster,
"when i increase the num_workers in my scaling config ,trials do not run concurrently",train,tune
how many concurrent trails are run when using ray tune,tune,
when i use a pl trainer i get an error ValueError: Expected a parent,ray-core,train
does it matter if an actor calls a function in an outside scope ? ie: ```def fun(): ... @ray.remote() class Actor(): def remote_fun(): return fun()```,ray-core,
how do i know the ammount of trials being ran concurrently,tune,
how do I find the length of a dataset,data,
"My episode_reward_mean seems to be going down over time after enabling this: configs.evaluation_config.update( { ""explore"": True })",rllib,
how do i run multiple trials at once ?,tune,
does asahscheduler stop trails when the val loss is increasing ?,rllib,tune
"I am trying to train_test_split a timeseries, how do i do that?",other,
can i have file appends during paralle processing,other,
does the AsyncHyperBandScheduler perform early stopping ?,tune,
how do I not require a bearer token in a service yaml,cluster,other
bearer token,other,
when i use asahscheduler my training only runs for 100 epochs,rllib,tune
why when i use ray tune does training complete at 100 epochs,tune,
initial guess for ray tune parameters,tune,
How do I pass a dataset to rolloutworker?,rllib,
how to set time zone for a ray cluster,cluster,
torch_backend = 'gloo',train,
the tuner is not passing the config to the trainaable,tune,
cannot pickle 'builtins.CoreBPE' object,ray-core,
"I am running ray tune on my local machine with one gpu , when i run with fractional number of gpu's per worker i get this error """"""torch.distributed.DistBackendError: NCCL error in: ../torch/csrc/distributed/c10d/ProcessGroupNCCL.cpp:1275, internal error, NCCL version 2.14.3 ncclInternalError: Internal check failed. Last error: Duplicate GPU detected : rank 0 and rank 1 both on CUDA device 1000""""""",ray-core,
"when i use fractional gpu resources i get this error """"""torch.distributed.DistBackendError: NCCL error in: ../torch/csrc/distributed/c10d/ProcessGroupNCCL.cpp:1275, internal error, NCCL version 2.14.3 ncclInternalError: Internal check failed. Last error: Duplicate GPU detected : rank 0 and rank 1 both on CUDA device 1000""""""",ray-core,
can i run multiple workers on one gpu,cluster,ray-core
"[Errno 99] error while attempting to bind on address ('::1', 9812, 0, 0): cannot assign requested address",cluster,
How can I use the base_env argument in my on_episode_end callback to get relevant information about the episode ?,rllib,
if i have an attention model how do i call compute_single_action?,rllib,
how do i register a custom model ?,rllib,
how to get the data inside a checkpoint,data,train
how to setup ray tune so that it discards all checkpoints from runs which arent the current optimal run,tune,
my checkpointing config has been set as num_to_keep = 2 however its still keeping all of the checkpoints,train,
How to execute a recurrent model with compute_single_action and env.step for a multiagent enviroment?,rllib,
how to execute a recurrent model with compute_single_action and env.step,rllib,
"checkpoint = Checkpoint.from_directory(""my_short_name"") session.report(metrics, checkpoint=checkpoint) whne using this code, got the error AttributeError: 'dict' object has no attribute 'path'",train,
how to use .options(),other,ray-core
I am trying to serve a deployment using ray serve but Ray Serve is unable to create a log file. Here is the exception i am getting: FileNotFoundError: [Errno 2] No such file or directory: '/tmp/ray/session_2023-10-18_22-59-57_373077_47126/logs/serve/deployment_MyDeployment_facebook/opt-125m#MyDeployment#zYjwcX.log' There is already a deployment running but i get this error when i am serving another deployment,serve,
How to manually execute a trained algorithm with multiple agents and a recurrent model on a multi agent env?,rllib,
how to manually execute a multi agent env with reccurent model?,rllib,
Why I got the best_trial.checkpoint is nonetype,tune,
Is it possible to customize Actor name in a ray Serve app,serve,
how do i set an initial guess for hyperparameters in ray tune,tune,
how to get the total timesteps in a calback in rllib for on_episode_created?,rllib,
How to combine the MyTrainableClass with session,tune,
how are you?,tune,other
how do i change the adam optimizer in ray rllib ppo config,rllib,
"can you generate how to create TuneConfig for random search, simplest working version. this is trainable def step(self): self.model.fit(self.x_train, self.y_train) predictions = self.model.predict(self.x_train) accuracy = accuracy_score(self.y_train, predictions) return {""accuracy"": accuracy}",tune,
is anything wrong with from ray.air import session session.get_checkpoint().to_dict(),other,
what does input node do,rllib,serve
how do i specify GPU in ray serve deployment,serve,
What does InputNode do?,rllib,serve
What does DAGDriver do in Ray Serve?,serve,
how can I tell ds.write_json to write only one file?,data,
i have a question about the callbacks api of rllib. In the on_episode_created one parameter is base_env. what env is accesible using this parameter?,rllib,
can I stack observations?,rllib,
"I loaded my policy from a checkpoint and ran get_exploration_state(). It shows this: {'cur_epsilon': 0.0, 'last_timestep': 0} I'm running my policy with explore=True, but it doesn't seem to be exploring. Instead it repeatedly runs the same action. Do I need to set cur_epsilon to a value above zero to enable exploration? If so, how do I do this?",rllib,
How to define callbacks for rllib training?,rllib,
how to define callbacks?,other,
why use ray serve instead of fast api,serve,
Give me an example where I need to iterate100000k elemnts in dictionary process them and put it in a dataframe,ray-core,data
"How do I submit a Ray job so that it only runs on worker node, not head node?",cluster,
How do I run driver process on the worker node?,cluster,
What does `serveConfigV2` do?,serve,
What does batch_size in map_batches specify? does it specify the number of blocks or the number rows/files?,data,
what’s the easiest way for me to profile my ray application for bottlenecks?,cluster,ray-observability
How can I get the ID of an actor from it's handle?,ray-core,
can i query the status of an actor from python?,ray-core,ray-observability
ray init中的_temp_dir是什么意思,rllib,ray-core
How ray cluster supports multi-tenancy?,cluster,
checkpoint,train,
put,ray-core,
what is upscale_delay_s,ray-core,serve
how do i change the verbosity of the checkpointing printing using ray train,train,
"How do I fix this error? ray start --address='10.186.16.77:6379' Local node IP: 10.33.110.145 [2023-10-19 07:53:05,546 I 361372 361372] global_state_accessor.cc:368: This node has an IP address of 10.33.110.145, but we cannot find a local Raylet with the same address. This can happen when you connect to the Ray cluster with a different IP address or when connecting to a container. Traceback (most recent call last):",cluster,
how do i log weights and gradients distribution from a training process,rllib,train
ray train worker verbosity setting,train,
serviceUnhealthySecondThreshold vs deploymentUnhealthySecondThreshold,cluster,
"whyen using ray tune how do i stop printing to the command window "" Checkpoint created successfully""",tune,
yaml up,cluster,
enableInTreeAutoscaling,cluster,
"When scheduling a task to be executed with .remote() and ray.get() from inside another remote task, does the parent remote task release it's resources so the child task can get scheduled?",ray-core,
What is the objective in table showing training progress. It is not a eval loss in my case.,rllib,
read json using ray data,data,
"I have two nodes, A and B, I want to specific my task on node A, how can I do it",ray-core,
what is the default num_gpu in `ray start` command?,cluster,ray-core
how to set RAY_ENABLE_RECORD_ACTOR_TASK_LOGGING in a ray service CR,ray-core,cluster
Can I start Ray with a fractional number of GPUs? ray start --num-gpus=0.5,cluster,ray-core
How do I see the list of metrics that are valid to use for checkpoint_score_attribute?,cluster,train
"This is my new checkpoint config, and I don't see any checkpoints being saved. Why? ckpt_config = air.CheckpointConfig(num_to_keep=exp_config['keep'], # checkpoint_frequency=exp_config['freq'], # checkpoint_at_end=exp_config['end'], checkpoint_score_attribute=""episode_reward_mean"", checkpoint_score_order=""max"")",train,
Hello,rllib,other
How do I get started?,tune,other
"How to fix this error when running ray inside a docker container: [Errno 99] error while attempting to bind on address ('::1', 9812, 0, 0): cannot assign requested address",cluster,
"how to fix this error when running ray inside docker: [Errno 99] error while attempting to bind on address ('::1', 9812, 0, 0): cannot assign requested address",cluster,
"My model performed very well between iterations 20 and 50, but my checkpoints only save the last 20, and I'm now on iteration 100. Is there any way I can recover the checkpoints between 20 and 50?",tune,train
What is INDDK-213 used in nasal sprays ?,rllib,other
how can i utilize ray,ray-core,other
"I have the problem that even if i zip my complete repo and declare that zip as working_dir in the serve config, when I run serve run it seays ModuleNotFoundError and i think it doesn't unzip soemthing",serve,
what is Ray?,ray-core,
What hyparameters can I optimize in Bert,train,
How can I launch a rain tune operation in a remote machine?,tune,
I have a ray deployment in a python script. That script imports some other scripts that are in some directories below. How would i need to create a deployment config to deploy this via ray serve so the imported scripts are found?,serve,
TypeError: 'str' object cannot be interpreted as an integer,ray-core,other
"In ray tune, how do I return the number of iterations performed?",tune,
"I have a sample batch object from a multiagent environment using the same policy for each agent. The sample batch observation have shape (batch_size*num_agents, num_features). How to reshape a samplebatch observation such that it has dimensions (batch_size, num_agents, num_features)?",rllib,
"I have the repo based on the ray 1.0 TensorFlow, how can I import the",other,
RayService로 모델을 배포할 때 동시 요청에 대한 처리를 따로 하지 않아도 되는거야?,cluster,
RayJob은 작업이 완료되면 결과가 어디에 남아? 클러스터가 삭제되는거 아니야? 그리고 RayJob은 Dashboard가 따로 없어?,cluster,
"how can i use view requirements and the trajectory api to have a model with to submodels, both using part of the memory state, and assign the parts of the state correctly",ray-observability,rllib
How do you make fault tolerant a ray cluster in Kubernetes regarding the GCS?,cluster,
when is get_initial_states used and when view requirements?,rllib,
how to create a TLS coonection between ray head and workers?,cluster,
trainer.restore,train,
I want to fine tune whisper using whisper bengali dataset,tune,train
memory_monitor_refresh_ms,ray-core,
ray serve 502 errors on load,serve,
The server encountered a temporary error and could not,cluster,other
UnboundLocalError: local variable 'data_dict' referenced before assignment,data,
在tuner中trail該如何同時開啟一個檔案,tune,
我該如何在tuner中平行開啟一個檔案,tune,
how to know that ray distributing tasks on workers,ray-core,
我想在tuner中的train開啟檔案，但是檔案目錄找不到，我非常確定檔案存在並且有資料，而且我使用的是絕對路徑，請問會是甚麼問題,rllib,tune
我想在tuner中的train開啟檔案，但是檔案目錄找不到，我非常確定檔案存在並且有資料，請問匯市甚麼問題,rllib,tune
如果使用tuner和fit進行分散式訓練時，在train有開啟檔案，會造成FileNotFoundError嗎?,tune,
Actors,ray-core,
how to code a simple policy with a custom logic depending on the observation ?,rllib,
how to setup runtime env in a ray serve cluster ?,cluster,
請問在tuner中的train開啟一個檔案，會造成甚麼問題導致檔案找不到,tune,
get worker task log,ray-core,
for distributed experience replay do you have alternatives to Apex DQn?,other,rllib
如何改变溢出磁盘的存储路径,rllib,
Ray传递参数的时候，Ray object ref 为什么会比直接传快？,ray-core,
PPOtrainer config,train,rllib
How to check ray works remotely on workers in windows,other,
check task assigned to worker,ray-core,ray-observability
"is this values is correct for autoscaling and min 3 nodes head: { enableInTreeAutoscaling: true, autoscalerOptions: { env: containerEnv, resources: {requests: {cpu: 1, memory: '1G'}} }, resources: {requests: {cpu: 2, memory: '8G'}, limits: {cpu: 2, memory: '8G'}}, serviceAccountName: kubeRayServiceAccount.serviceAccountName, nodeSelector: {'eks.amazonaws.com/capacityType': 'ON_DEMAND'}, containerEnv: containerEnv }, worker: { resources: {requests: {cpu: 2, memory: '8G'}, limits: {cpu: 2, memory: '8G'}}, serviceAccountName: kubeRayServiceAccount.serviceAccountName, replicas: 3, minReplicas: 3, nodeSelector: {'eks.amazonaws.com/capacityType': 'ON_DEMAND'}, containerEnv: containerEnv }",cluster,
why work job when i have autoscalling is waiting for scheduling,cluster,
what did you have for breakfast this morning?,other,
load trainer from a PPOtraining results,train,rllib
ray的溢出磁盘功能，默认阈值是多少？,rllib,other
use trained network,other,
"in this 'from ray import tune analysis = tune.run( ""PPO"", metric=""episode_reward_mean"", mode=""max"", stop={{""episode_reward_mean"": 90}}, local_dir=""/path/to/your/directory"", config={{ ""env"": ""MountainCarContinuous-v0"", ""lr"": tune.uniform(1e-5, 1e-4), ""train_batch_size"": tune.choice([10000, 20000, 40000]), }}, )' instead of local directory there is a 'storage path' inside ray air, how can i use that ?",tune,
how does ray compare with apache beam,ray-core,other
how do you compare with beam,tune,other
ray 的对象存储是如何处理的，即put 函数做了什么,ray-core,
ray,ray-core,
Ray 的 put 和 get 能不能当作一个rpc 框架来用，延迟高吗？,ray-core,
Set queue size,ray-core,
端口10001,ray-core,
how to check task assigned to worker,ray-core,ray-observability
10001,ray-core,
is there a verbosity level for tuner.fit,tune,
ray 是如何通过num cpu 限制资源使用量的,rllib,other
gpu,cluster,
is there ray version with long time support or something like that? and which one is it and which one is latest long time support ray version,ray-core,
parameters server,ray-core,
Show me the example of using Queue,ray-core,
how to write a custom callback for unity?,tune,other
"Some tune algorithms have feature where I can pas previously run experiment result and based on that result these algorithms will ""continue"" training, how does it work and which algorithms have that feature?",tune,
how to write a custom side channel for ml agents?,cluster,ray-core
how can I use the learn_on_batch or any other suitable callback to log custom metrics from my multiAgent environment to tune and tensorboard?,tune,
ray.data.read_csv how to read csv in one worker's local disk,data,
ray.data.read_csv ho w,data,
ray cli submit job,cluster,
Show me the Pipelining example with at least 3 tasks to process.,ray-core,
rllib.BaseEnv,rllib,
Show me the Pipelining example with multiple tasks to process.,ray-core,
Show me the pipelining example,ray-core,
Show me the example of using ray.util.iter,ray-core,
mappo,ray-core,rllib
how to store model checkpoints in ray tune,tune,
如何限定子节点的资源使用量,rllib,
use tune.run to train mountaincarcontinuous,tune,
集群如何进行资源分配,rllib,
how to set minio as storage_path with key or credential,data,train
how to save a checkpoint in ray=2.0.1,tune,
"ray start --head --node-ip-address=""10.10.10.123"" --port=""9937"" --num-cpus=""20"" --resources='{""bob"": 20}' --include-dashboard=False --disable-usage-stats 解释下各个参数",cluster,
Sequential programming. tasks are run asynchronous.,ray-core,
Ray集群时，如何设置资源的优先级、,rllib,
"how to restore ray? but restore all trials, the ones that was not started yet when experiment was interrupted",tune,
import package in task,ray-core,
"how to start ray, ray init?",cluster,
使用Docker镜像启动ray，如何把ray启动成head节点？,rllib,other
how to do action masking with rllib,rllib,
monitor dashboard access,cluster,
how to enable the dashboard,cluster,
what is the Object Store Memory in kuberay cluster,cluster,
"When a class method of a created actor is used as remote with a huge batch, will Ray also distribute it to multiple worker or they will all be executed on the worker associated with that actor",ray-core,
"when a class method of a created actor is used as remote, will Ray also distribute it to multiple worker",ray-core,
How does ray handle out of scope object references (like global variables) when executing a function remotely?,ray-core,
how to do batching,cluster,data
"Ray log里的object_store_memory是5g, 但是dashboard cluster视图里的object store memory看是24g, 他们的区别是什么？",ray-core,
"Explain this: explore_config = configs.exploration_config.update( { ""initial_epsilon"": 1.5, ""final_epsilon"": 0.01, ""epsilone_timesteps"": 5000, } )",rllib,
"ray log里的object_store_memory是5g, 但是dashboard cluster视图里的object store memory看是24g, 他们的区别是什么？",ray-core,
how do i check which ray version I am using,cluster,ray-core
I am getting this error ERROR: Invalid requirement: 'channels:' (from line 1 of /tmp/ray/session_2023-10-18_16-32-35_918373_12/runtime_resources/pip/4634fb6671fccc5aef0ee673da0e7de79d6c459d/ray_runtime_env_internal_pip_requirements.txt),ray-core,
ray object memory 超了之后会写到磁盘中吗,ray-core,
ray data map_batches会有写入磁盘的操作吗,data,
在Ray中如果对dataset 执行了某项操作后，改操作不会被立即执行对吗？,rllib,
"i know discrete , but whats discrete + parametric ?",ray-core,
Dashboard上有PENDING_CREATION 的actor，但是命令行检索没有这写,ray-core,
how to set num of cpus when training with DQNConfig()?,rllib,
查看所有actor,ray-core,
what is this error? RuntimeError: Failed to unpickle serialized exception,ray-core,
how to cancel obj refs,cluster,
how can i see how many nodes have been allocated to me in my ray cluster?,cluster,
What's the difference between pyarrow and numpy formats in ray?,ray-core,
during ray serving time how can I install non public pypi packages,ray-core,
how to install dependencies from non public pypi during ray serving time,ray-core,
"My current code looks like this ray_actor_options={ ""num_cpus"": 1, ""runtime_env"": {""pip"": dep}, }, however I need to install dependencies from internal index ""https://artifactory-pypi.cbhq.net/simple/"" how should I write it here",ray-core,
How RayJob works? Does it create a Kubernetes Job?,cluster,
what's the default batch_size in map_batches?,data,
how to use ray with jupiter nodebook,cluster,
"in ray serve, when using application build, do the arguments have to be string format? or they can be boolean too?",serve,
